regionsCode,regions,cx,cy,year,income
W92000004,Wales,281724.74180894694,267852.45306876063,2002,10953.32
W92000004,Wales,281724.74180894694,267852.45306876063,2003,11369.32
W92000004,Wales,281724.74180894694,267852.45306876063,2004,11841.09
W92000004,Wales,281724.74180894694,267852.45306876063,2005,12158.55
W92000004,Wales,281724.74180894694,267852.45306876063,2006,12519.32
W92000004,Wales,281724.74180894694,267852.45306876063,2007,12905.5
W92000004,Wales,281724.74180894694,267852.45306876063,2008,13420.27
W92000004,Wales,281724.74180894694,267852.45306876063,2009,13426
W92000004,Wales,281724.74180894694,267852.45306876063,2010,13652.55
W92000004,Wales,281724.74180894694,267852.45306876063,2011,13885.05
W92000004,Wales,281724.74180894694,267852.45306876063,2012,14307.95
W92000004,Wales,281724.74180894694,267852.45306876063,2013,14640.09
W92000004,Wales,281724.74180894694,267852.45306876063,2014,15107.77
W92000004,Wales,281724.74180894694,267852.45306876063,2015,15610.86
W92000004,Wales,281724.74180894694,267852.45306876063,2016,15748.91
W92000004,Wales,281724.74180894694,267852.45306876063,2017,16264.86
W92000004,Wales,281724.74180894694,267852.45306876063,2018,16895.5
W92000004,Wales,281724.74180894694,267852.45306876063,2019,17315.5
W92000004,Wales,281724.74180894694,267852.45306876063,2020,17670.77
W92000004,Wales,281724.74180894694,267852.45306876063,2021,17981.95
UK,UK,,,1997,10596
UK,UK,,,1998,10814
UK,UK,,,1999,11298
UK,UK,,,2000,11889
UK,UK,,,2001,12353
UK,UK,,,2002,12643
UK,UK,,,2003,13022
UK,UK,,,2004,13556
UK,UK,,,2005,14038
UK,UK,,,2006,14618
UK,UK,,,2007,15297
UK,UK,,,2008,15695
UK,UK,,,2009,15963
UK,UK,,,2010,16111
UK,UK,,,2011,16270
UK,UK,,,2012,16870
UK,UK,,,2013,17506
UK,UK,,,2014,18061
UK,UK,,,2015,19004
UK,UK,,,2016,19227
UK,UK,,,2017,19677
UK,UK,,,2018,20406
UK,UK,,,2019,21015
UK,UK,,,2020,20962
UK,UK,,,2021,21635
